sentimen,berita
1,Perempuan PKS Kampanyekan 1 Istri Tidak Cukup
1,Foto Megawati Pidato di Podium Berlogo Palu Arit
1,Peti Mati Khusus Terbuat dari Kardus Untuk Ketua KPU
1,15 Juta Pekerja Terancam Batal Terima Subsidi Gaji Rp600 Ribu
1,Foto Seorang Ayah Melarang Anak Berhijab
1,Surat SPK Pengadaan Sembako dan Bantuan Sosial Pemprov DKI Jakarta
1,Pencurian Organ Dalam Mayat Terpapar Virus Corona di India
1,Klaim Bisa Deteksi Virus Corona Covid-19 di Tubuh Tanpa Swab Test
1,Akun Instagram Mengatasnamakan Pusat Informasi dan Koordinasi Covid-19 Provinsi Jawa Barat
1,Habib Rizieq Mengeluh Tidak Kebagian Sembako
1,Kemenag Resmi Luncurkan Sertifikasi Da’i
1,Ma'ruf Amin Mengajak Orang untuk Menonton Paha
1,Pesan Berantai Dua Kelompok Besar Bentrok di Kalimalang
1,Banjir di Cicurug Sukabumi
1,Ikan Siluman Tertangkap di Laut Cina Selatan.
1,Minyak Kayu Putih Bisa Memutihkan Ketiak
1,Mata Pelajaran Sejarah Dihapus dari Kurikulum
1,Akun Facebook Bupati Bekasi Eka Supria Atmaja Meminta Sumbangan
1,Razia Masker Non Medis di Bundaran dekat SMPN 5 Kota Malang
1,Foto Bakal Calon Wabup Muratara Inayatullah Berduaan dengan Wanita di Dalam Mobil
1,Akun Facebook Mengatasnamakan Istri Gubernur Jawa Barat
1,Surat Keputusan Penundaan Pilkada 2020 Akibat Pandemi Covid-19
1,Penggunaan Masker Scuba Dilarang karena Alasan Politik
1,Tes Covid-19 di UK Adalah Bagian dari Konspirasi untuk Memanen Data DNA Biometrik Manusia
1,Prabowo Mengumpat Sebut Pendukungnya Tak Berguna
1,Lowongan Tenaga Kerja PAMSUSKA Mengatasnamakan KAI
1,Pelaku Kejahatan Penusukan Syekh Ali Jaber Mengaku Dibiayai Megawati dan PKI
1,Panggilan Tes Interview PT.Angkasa Pura I pada Tanggal 18-19 September 2020
1,“Penyerangan Syekh Ali Jaber DS: Yang Ditusuk Adem-adem Aja yang Ribut PKS HTI dan Fpi Rencana mereka Gagal Menggelikan Dehhhh...”
1,Foto Seorang yang Mengenakan Seragam Banser Sedang Bersama Seorang Wanita
1,Presiden Jadi Tim Sukses Gibran-Teguh
1,Rekaman CCTV Penampakan Tuyul di Depan Konter HP
1,Istri Sekda DKI Jakarta Kritis dan Dirawat diICU
1,Dunkin Donuts Mengadakan Program Bagi Donat Gratis
1,Foto Anies Baswedan Muncul di Film Warkop DKI
1,Pesan Berantai Ibu Bupati Sleman Adakan Razia Masker
1,Pesan Whatsapp Ade Agus Hartanto Ketua Komisi I DPRD Riau Tawarkan Lelang Mobil
1,Ali Mochtar Ngabalin Dibaiat di Gereja
1,Surat Keterangan Berlaku Lagi untuk Warga yang Keluar-Masuk Makassar
1,Merdeka.com : Rame-Rame Berburu Kambing Hitam Syekh Ali Jaber dengan Kelompok Teroris
1,Video yang Diklaim Gambarkan Mayat Korban Covid-19 di Rusia
1,Pesan Berantai Cara Mendapat Kuota Gratis dariProvider Internet
1,Larangan Berkeliaran di Luar Rumah BagiRemaja di Kulon Progo
1,Undangan Deklarasi KAMI Jawa Timur
1,Akun Facebook Mengatasnamakan Bupati Landak
1,Akun Facebook Pemimpin Umum Majalah Rantau Dedi Candra Rosma Yulfa
1,Operasi Penegakan Protokol Kesehatan di Kota Malang
1,Nomor Whatsapp Mengatasnamakan Kepala BKN Bima Haria  isana
1,Pesan Berantai WhatsApp Mengatasnamakan Istri Bupati Siak Akan Razia Siswa yang Berkeliaran
1,Pernyataan Menteri Kesehatan Terawan Agus Putranto
1,Antrean Ambulance Masuk Wisma Atlet karena Semua Ruangan Penuh
1,Polisi Rekrut Preman untuk MenegakkanProtokol Covid-19
1,Foto Wisuda 4 Ribu Siswa di Sarajevo
1,Foto AFRICA vs AFRICA in American Movies”
1,Breaking News Pesantren Alquran Terbakar 28 Santri Dan Guru Meninggal Dunia Semoga Yang Gugur Dalam Pesantren Tersebut Husnul Khotimah
1,Ustadz di Bogor Meninggal Setelah Dikeroyok
1,Foto “Akhirnya Syekh Ali Jaber terbang pulang ke Madinah”
1,Rekrutmen Pegawai PLN untuk Lulusan SMA hingga S1 Tahun 2020
1,Akun Facebook Mengatasnamakan Anggota Polres Trenggalek
1,44 Karyawan PT. Bakrie Autoparts Positif Corona
1,Jokowi : Tidak Perlu Di besar besarkan Penusukan Ustad Ali Djaber Itu Kriminal Biasa. Ustad Juga Ndak Sampai Mati
1,Undangan Peresmian Jalan Tol Pekanbaru-Dumai
1,Minum Minuman Energi Berlebihan Sebabkan Lubang Besarpada Tengkorak Kepala
1,Pelaku Penusukan Syekh Ali Jaber Memegang Bendera Tauhid Berwarna Hitam
1,Indonesia Jadi Negara dengan Kasus Covid-19 Terbanyak
1,Foto Pelaku Penusukan Syekh Ali Jaber sudah Bebas Bersyarat
1,Presiden Belarus Klaim IMF Tawarkan Suap untuk Pembatasan Covid-19
1,Selama Covid-19 Ada Tidak Ada Orang Gila yang Kena Covid-19
1,Din Syamsuddin Mau Geser Ma'ruf Amin
1,Polisi Sumba Timur Turun ke Jalan Larang Warga Beraktivitas
1,Akun Facebook Mengatasnamakan Ketua DPRD Mimika
1,Video Pesepeda Masuk Tol karena Usulan Anies Dikabulkan
1,Denda PSBB di Kota Cilegon
1,KPK OTT Anies Baswedan
1,Fasilitas Kesehatan di Bekasi Tak Bisa Tampung Lagi Pasien Covid-19
1,Bagi-bagi Data Internet 200 GB dari Tokopedia
1,Hasil Survei PolMark Pilwali Makassar
1,Kunyit Putih hingga Gula Batu Bisa Sembuhkan Kanker Payudara
1,Informasi Area yang Sudah Terdeteksi Pandemi Covid-19 di Wilayah Balikpapan
1,PSBB Jakarta Jilid II Bagian dari Skenario Desak Presiden Jokowi Mundur
1,Menag Sebut Penusukan Syeikh Ali Jaber Kriminal Biasa
1,Semburan Lumpur di Kranggan Bekasi
1,Foto Pelaku Penusukan Syekh Ali Jaber dengan Bendera PKI
1,Foto Arteria Dahlan Mendadak Gunakan Baju Koko setelah Identitasnya Terbongkar
1,Akun Palsu Mengatasnamakan Wali Kota Tanjungbalai H.M Syahrial
1,Wanita di Inggris Tewas Tertusuk Urin Beku
1,Foto Anies Mendapat Piala Juara Satu Corona
1,Daftar Nama Penerima Bantuan UMKMKabupaten Mempawah
1,IGD Rumah Sakit Blambangan BanyuwangiTidak Terima Pasien
1,Mengobati Luka Bakar dengan Es Batu
1,Meludahi Benih Tanaman Dapat Merestrukturisasi DNA Mereka
1,Pedangdut Aty Kodong Meninggal Dunia
1,Surat Pengangkatan CPNS Mengatasnamakan BKN di Pemkab Sampang
1,Akun Facebook Mengatasnamakan Cabup Kepulauan Meranti
1,Foto Menteri Agama di Kabinet Jokowi sebagai Pendeta Kristen
1,Ibunda Cak Nun Meninggal
1,Informasi Daftar Pasien Klaster Warung Makan Bu Fat Mengatasnamakan Dinkes Kota Semarang
1,Foto “Telah ditemukan situs peninggalan Prasejarah dimasa Raja Firaun”
1,CEO Netflix Ditangkap dengan Tuduhan Pornografi Anak
1,Foto Peta Penyebaran Covid-19 di Jakarta Berwarna Hitam dan Merah
1,Badak Makhluk Bulan Hewan Ini Sudah 50 Tahun Menetap di Bumi
1,Postingan Meminta Tolong dan Rela Dijadikan Istri
1,Akun Twitter Rektor IPB
1,Akun Facebook Mengatasnamakan Bupati Bengkulu Selatan Gusnan Mulyadi
1,Bantuan Sosial Mengatasnamakan Bupati Jepara
1,Bayi di Blora Meninggal karena Harus Rapid Test
1,Foto Seorang Ayah Sebrangkan Anaknya di Sungai Agar Bisa Pinjam HP Temannya untuk Sekolah Online
1,Relawan Menjadi Positif Covid-19 Setelah Disuntikan Vaksin Sinovac China
1,Anies Baswedan Mengendarai Mobil Model Peti Mati
1,TNI Akan Polisikan Pengunggah Video Tank Tabrak Gerobak Pakai UU ITE
1,Rumah DP 0% Berbentuk Peti Mati
1,Foto Anak Kecil Menulis Keluhan ke PresidenJokowi di Papan Tulis
1,Kanker Testis Bisa Dideteksi dengan Alat Tes Kehamilan
1,Imbauan Warga Jakarta Tidak Keluar Rumahkarena Akan Dilakukan Rapid Test di Mall dan Pasar
1,Jokowi Minta Semua Gubernur Tiru Kerja Keras Anies Baswedan
1,Minum Air Rebusan Serai Jeruk dan Teh Bisa Turunkan Berat Badan dalam Waktu Singkat
1,Bupati Lumajang Beri Bantuan Lewat Whatsapp
1,Tangkapan Layar Obrolan WhatsApp ChristianyEugenia Paruntu (CEP)
1,Wisma Atlet Mencekam dan Semua Ruangan Penuh Pasien Covid-19
1,Rapid Test Perjalanan Dicabut
1,RI Larang WNA Masuk Saat Corona kecuali TKA China
1,Ledakan Kasus Corona di Kudus Mencapai 1,210 Kasus
1,Qari Internasional Asal Papua
1,Donald Trump Sebut Jokowi Presiden Terbaikdi Dunia
1,Anies Terima Piagam DKI Jadi Provinsi Covid-19Tertinggi
1,Beberapa Negara Beli Alat Tes Virus Coronasejak 2017 dan 2018
1,Gambar yang menampilkan Percakapan Habib Rizieq dan Tengku Zulkarnain
1,Panggilan Interview Karyawan PT. Garuda Indonesia 08 September 2020
1,Pesan Singkat Hadiah Rp175 Juta dari Shopee
1,Kakeknya Arteria Dahlan PKI
1,Nama Wakil Bupati Pasuruan Masuk Tim Sukses Pemenangan Gus Ipul
1,Akun Facebook Arthur Waroka Minta Uang Hingga Pulsa ke Warga
1,Foto Jack Ma Waktu Kecil
1,Ratusan Warga di Tiap Kecamatan Kota Serang Positif Covid-19
1,Melihat Papua dan Aceh Sejahtera Timor LesteIngin Gabung dengan Indonesia
1,Akhirnya Jokowi Selesai Buat Tol Laut
1,Putra Sulung Presiden Gibran akanMembebaskan Palestina dari Israel
1,Akun Palsu Haji Martinus Bakal Calon Walikota Banjarbaru
1,Surat Menteri PANRB Terkait Penerimaan Catar Poltekip dan Poltekim
1,Tenaga Medis Terpapar Covid-19 di Puskesmas Baamang 1
1,Kabar PDIP Bubar Kader Pindah PSI
1,Meningkatkan Peluang Hamil dengan Mengkonsumsi Buah Zuriat
1,Instagram Membatasi Hanya 10% Pengikut yang Bisa Melihat Postingan
1,Lebah Tidak Bisa Terbang
1,Video Tes Menahan Napas untuk Membantu Analisa Covid-19
1,Penampakan Mobil Ghoib Esemka
1,Harimau Kurus Tidak Diberi Makan di Kebun Binatang Maharani Lamongan
1,Video Demo Covid-19 di Polandia yang Tuntut Pandemi Diakhiri
1,Peta Kota Bandung Nyaris Zona Hitam
1,Peneliti Australia Sebut Jokowi sebagai Presiden Tanpa Kemampuan
1,Foto Penampakan Badan Setelah Tersambar Petir
1,Foto Presiden Jokowi Masuk Peti Mati
1,Kontes Jin Terkait dengan Kebakaran Gedung di Kejaksaan Agung
1,Virus Corona Sengaja Disebar oleh Dokter Tenaga Medis dan Apoteker
1,Akun Twitter Tommy Soeharto
1,Devils Tower Adalah Pohon Purba Raksasa
1,Pernyataan Maruarar Sebut Orang yang Tak Pilih Jokowi Bodoh dan Gila
1,Kebakaran Gedung Kejaksaan Agung Pemutihan Perkara
1,Foto Penampakan Sosok Berbaju Putih di Gedung Kejaksaan Agung yang Terbakar
1,Anies Batalkan Pemasangan Masker di Patung Jendral Sudirman karena Dianggap Tidak Waras oleh Warga
1,Video Makanan Asli dan Palsu Buatan China
1,Vietcong Belajar Taktik Gerilya dari Indonesia
1,CCTV Kejagung Ikut Terbakar Hangus
1,Makan Telur Rebus Tengah Malam DapatMencegah Covid-19
1,Gedung Kejaksaan Terbakar Menko Marves Luhut Minta 'Pemutihan' Sejumlah Koruptor
1,Akun WhatsApp Mengatasnamakan Sekda Kabupaten Kepulauan Selayar
1,Berkas - Arsip Perkara Hukum Hangus Dalam Kebakaran Gedung Kejaksaan Agung
1,Jokowi Sudah Gagal Dan Tidak Bisa Jadi Presiden Lagi Jutaan Rakyat Akan Memaksa Angkat Kaki
1,Foto Penampakan Tiga Orang yangMenggantung Anggota TNI di Pohon
1,Minum Kopi Dengan Jeruk Nipis Dapat Meredakan Migrain
1,Demokrat: Habib Rizieq ada di Arab kenapa tak dirikan khilafah di sana? Beraninya Cuma di Indonesia Saja Dasar Provokator
1,Penggunaan Obat Trombolisis di RSPON Tidak Bisa Lebih dari 4 Jam Setelah Kejadian Stroke
1,Formulir Online Pendaftaran Kartu Indonesia Pintar
1,Dokumen WHO Terkait Anjuran Tidak Menggunakan Masker Selama Pandemi Covid-19
1,Foto Para Pekerja China akan Melakukan Cuti
1,35 Guru Meninggal Akibat Covid-19 di Surabaya
1,Foto Sri Mulyani Berjilbab “Kode pilkada sudah dekat Atau tagihan sudah jatuh tempo”
1,Puluhan Orang India Berjoget Merayakan Mendagri India Positif Covid-19
1,Pernyataan Jokowi Pertumbuhan Ekonomi Indonesia Terjun Bebas Tidak Diberi Utang Lagi
1,Gaji Tambahan dari Jokowi Berupa Mata Uang Yen
1,SMS Mengatasnamakan Pimpinan Dosen dan Karyawan Universitas AMIKOM Yogyakarta
1,Facebook Bagi-bagi Kuota Internet Gratis Bagi Para Penggunanya
1,Virus Corona Covid-19 Dibuat di Lab Militer Partai Komunis China
1,Mahasiswa Bayar Uang Pangkal di Undip Rp 87 Miliar
1,Instruksi KemenBUMN Angkat Advisor Gaji Rp 40 Juta
1,Potret Presiden Jokowi Mengukur Baju Karya Desainer Ivan Gunawan
1,alan Layang Tol Cikampek Bergelombang Gara-Gara Digunakan Untuk Uji Coba Esemka Ribuan Unit
1,Pesawat Jatuh di Tol Banyumanik
1,Busana Jokowi Terinspirasi dari Cerita Fiksi
1,Foto Uang 212 Bergambar Perempuan Bercadar
1,Prabowo Subianto Peringatkan Gatot Nurmantyo Jangan Bikin Kisruh Indonesia
1,Akun Facebook Wakil Ketua I DPRD Kota Parepare Tasming Hamid (TSM)
1,Tagihan Biaya Asuransi Mengatasnamakan JNE
1,TNI Siap Ambil Alih Kekuasaan karena Jokowi akan Dimakzulkan
1,Putri Presiden Vladimir Putin Meninggal setelah Suntikan Kedua Vaksin Covid-19
1,Lukisan Tahun 1962 Ini Telah Ramalkan Kehidupan pada 2022 Usai Pandemi Covid-19
1,Negara Arab Merupakan Negara yang PalingAwal Mengakui Kemerdekaan RI
1,Seorang Pria Buang Uang Rp 300 Juta di JalanRaya
1,Akun Facebook Mengatasnamakan Wakil DPRD Sulawesi Utara
1,Poster Habib Rizieq Dibakar Seluruh Anggota FPI Kebal Bacok dan Kami Siap Perang
1,KPK Gelar Lomba Petak Umpat Peringati HUT RI ke-75
1,Akun Mengatasnamakan Mantan Gubernur Kepri Meminjam Uang
1,Penukaran Uang Pecahan Rp75 Ribu untuk Bayar Utang Negara
1,Bahan Baku Uang Kertas Dollar Amerika dari Serat Pohon Pisang Abaka
1,Video Pesta Kembang Api Merayakan Tahun Baru Islam 1442 Hijriah
1,Video Kelompok Wanita Berhijab Injak Bendera Merah Putih Demi Konten TikTok
1,Burj Khalifa Dihiasi Bendera Israel untuk Merayakan Perjanjian Damai Israel dan Uni Emirat Arab
0, 17:13        Ramp Check Pesawat Diintensifkan Hingga
0, 16:36        Pelindo I Sambut Kapal Perdana yang Bersandar di Tahun 2019 
0, 16:00        Libur Tahun Baru Setengah Juta Orang Pergi Keluar Negeri  
0, 14:28        Jumlah Penumpang saat Natal dan Tahun Baru di Pelabuhan Tanjung Perak Naik 6416 Persen 
0, 13:38        10 Orang Terkaya di Dunia Versi Bloomberg Billionaire Index 
0, 13:30         2019 AP II Incar Kelola Bandara di Negara Lain 
0, 13:03        Sambut 2019 Sri Mulyani Bicara soal Suntikan ke BPJS Kesehatan  
0, 12:39        Sepanjang 2018  Bandara AP II Layani 115 Juta Penumpang  
0, 12:16        Utang Ratusan Miliar Rupiah Wim Cycle Ajukan PKPU 
0, 09:26        Penerimaan Negara 2018 Lebihi Target Defisit Terkecil Sejak 2012 
0, 08:23        Refleksi 2018 Sri Mulyani Kenang 21 Jajarannya Jadi Korban JT-610 
0, 06:06        Ini 10 Berita Ekonomi yang Paling Banyak Dibaca Tahun 2018 
0, 05:53        Korsel Larang Supermarket Gunakan Kantong Plastik  
0, 20:17        Sepanjang 2018 Inflasi DKI Jakarta 327 Persen 
0, 19:42        Penerimaan Pajak Tak Capai Target Tapi Bea dan Cukai Sebaliknya 
0, 18:53        Target Pemerintah soal Jumlah Wisman Tak Tercapai Ini Sebabnya 
0, 18:45        Tahun Ini Angkasa Pura I Targetkan Pendapatan Rp 10 Triliun 
0, 18:30        Ada Asian Games dan Pertemuan IMF-Bank Dunia Kunjungan Wisman Naik 1163 Persen 
0, 18:10        Sepanjang 2018 Angkasa Pura I Layani 965 Juta Penumpang 
0, 17:55        Defisit Anggaran dan Keseimbangan Primer 2018 Terkecil Sejak 2012 
0, 17:30        KEIN: Rata-rata Inflasi Bahan Makanan 5 Tahun Terakhir Turun 36 Persen 
0, 17:12        OJK Minta Perbankan Tak Buru-buru Respon Kenaikan Bunga Acuan 
0, 16:47        Lebihi Target Penerimaan Negara Tahun 2018 Tembus Rp 1.9423 Triliun 
0, 16:40        Menko Darmin Tekankan Pentingnya Integritas di Pasar Modal 
0, 16:14        Lini Bisnis Ditutup BEI Pantau First Media 
0, 16:02        Pengguna Pesawat Turun saat Libur Natal dan Tahun Baru 2018 
0, 15:16        Menko Darmin Yakin Inflasi 2019 Bisa Dikendalikan 
0, 14:42        Tutup Tahun 2018 100 Persen Desa di NTB Telah Dialiri Listrik 
0, 14:15        Pertamina EP Targetkan Produksi Minyak di Pangkalan Susu Field 1.000 Barrel Per Hari 
0, 14:00        Jangan Lupa Mulai Hari Ini Layanan OSS Pindah ke Kantor BKPM 
0, 13:49        Dirut Mandiri Prediksi BI Naikkan Suku Bunga 2 Kali Tahun Ini 
0, 13:30        Darmin: Pertumbuhan Ekonomi Indonesia Terjaga di Tengah Perang Dagang 
0, 13:15        Awal Tahun 2019 Harga Minyak Dunia Anjlok 1 Persen 
0, 12:53        Harga BBM dan Beras Punya Andil Besar terhadap Inflasi 2018 
0, 12:45        Jika Pemilu Lancar Bos Mandiri Optimistis Likuiditas Perbankan Membaik 
0, 12:24        Inflasi Desember 2018062 Persen Dipicu Harga Telur dan Daging Ayam 
0, 11:30        Menko Darmin: Optimisme Harus Punya Dasar 
0, 11:05        Kuartal IV 2018 Pertumbuhan Ekonomi Singapura Hanya 2,2 Persen 
0, 10:29        Gunung Anak Krakatau Berstatus Siaga Pelayaran di Selat Sunda Diminta Waspada  
0, 10:01        Perdagangan Perdana 2019 IHSG Bergerak Menguat Tipis 
0, 09:35        Realisasi APBN 2018 Pecahkan Rekor? 
0, 09:31        Tahun Ini Waskita Beton Precast Targetkan Laba Naik 10 Persen 
0, 08:52        Menyambut January Effect Ini Sektor Saham yang Patut Dicermati 
0, 08:05        Bisnis Perusahaan Nuklir Bill Gates Terhambat Perseteruan AS-China 
0, 07:10        Selama 2018 Mayoritas Anggaran ESDM Dibelanjakan untuk Infrastruktur 
0, 06:45        Berita Populer Ekonomi: Grab Dihukum Bayar Kompensasi di Vietnam 
0, 06:30        10 Negara Paling Inovatif di Dunia 
0, 05:50        Risiko Masih Tinggi Ini Portofolio yang Bisa Menjadi Pilihan Investasi 
0, 05:14        Sepanjang 2018 Pelni Angkut 36 Juta Penumpang 
0, 22:50        Perilaku Masyarakat Gunakan Kantong Plastik Dipandang Harus Berubah 
0, 22:48        ESDM Bangun 434 Penerangan Jalan Tenaga Surya di Manggarai Barat 
0, 22:02        Hingga Maret 2019 Pemerintah Pastikan Tarif Listrik Tidak Naik 
0, 21:46        Semester I BRI Akan Terbitkan Obligasi Rp 20 Triliun 
0, 21:07        BRTI Blokir Nomor Telepon Terindikasi Penipuan 
0, 20:38        Gandeng Alipay BRI Garap Turis Asal China 
0, 20:21        Pertamina Teken Kontrak Jual Beli dengan 11 KKKS Impor Minyak Bisa Berkurang 
0, 19:48        Merpati Airlines Ingin Ada Pergerakan Tahun Ini 
0, 19:18        Bakal Akuisisi Perusahaan Asuransi BRI Siapkan Rp 15 Triliun 
0, 18:48        Apa Resolusi Bill Gates di Tahun 2019?  
0, 18:38        Tahun Baru Konsumsi Avtur di Bandara Komodo Justru Turun 
0, 18:22        Rombak Direksi BRI Angkat Kembali Sunarso Jadi Wakil Direktur Utama 
0, 17:21        Inflasi Rendah Rupiah Ditutup Menguat 
0, 17:08        Akhir 2019 Dana Hasil Tax Amnesty Bisa Tinggalkan RI Pemerintah Tak Khawatir 
0, 17:00        Jika Kartu NPWP Hilang Begini Cara Mengurus yang Baru 
0, 16:40        BPJS Kesehatan Wajibkan Faskes Miliki Sertifikat Akreditasi 
0, 16:28        Tahun Ini KNKS Akan Kembangkan Keuangan Syariah dan Industri Halal 
0, 16:00        Ingin Sukses dalam Karier Ikuti 7 Tips Ini di Tahun 2019 
0, 15:56        Penawaran SBR005 Mulai 10 Januari 2019 Minimal Pesanan Rp 1 Juta 
0, 15:31        Jasa Marga: Sewa Tempat di Rest Area Tol Trans Jawa Mulai Rp 150.000 Per Meter 
0, 15:00        Lima KA Dicabut Subsidinya PT KAI Tak Naikkan Harga Tiket 
